"time, s","I, Amp"
1002.17,0.0001641598
1003.05,0.0001800363
1004.37,0.0001880516
1005.25,0.000213716
1006.14,0.0001761057
1007.02,0.0002122517
1008.33,0.0001624642
1009.22,0.0001339482
1010.1,0.0001556821
1011.41,0.0001803446
1012.3,0.0001903637
1013.18,0.0002000746
1014.06,0.0002043134
1015.38,0.0001690152
1016.26,0.0001929841
1017.14,0.0001675509
1018.02,0.0001739477
1019.33,0.0001835815
1020.22,0.0001671655
1021.1,0.0001754121
1022.42,0.0001781866
1023.3,0.0001859707
1024.19,0.0001872038
1025.07,0.0002088606
1026.38,0.0001915968
1027.27,0.0001525222
1028.15,0.0001613853
1029.03,0.0001572235
1030.34,0.0001562986
1031.23,0.0001549884
1032.11,0.0001778013
1033.02,0.0001743331
1034.33,0.0001670114
1035.22,0.0001667031
1036.1,0.0001593044
1037.42,0.0001822713
1038.3,0.0001973001
1039.18,0.0001864331
1040.07,0.000122773
1041.38,0.0001784949
1042.26,0.0001732541
1043.14,0.0001723293
1044.03,0.0001772618
1045.34,0.0001861248
1046.22,0.0001752579
1047.1,0.0001859707
1048.42,0.0002110956
1049.3,0.0001835045
1050.19,0.0002050841
1051.07,0.0001910573
1052.38,0.0002025408
1053.27,0.00019699179999999999
1054.15,0.0001852
1055.03,0.000208244
1056.34,0.0002277428
1057.23,0.0001905179
1058.11,0.0002335231
1059.42,0.0001954504
1060.3,0.0001662407
1061.19,0.0001842752
1062.07,0.0001956816
1063.39,0.0002261243
1064.27,0.000218032
1065.15,0.0002231957
1066.03,0.0002178778
1067.34,0.0002215001
1068.23,0.0002360664
1069.11,0.0002440817
1070.42,0.0002150262
1071.31,0.0002100166
1072.19,0.0002020784
1073.07,0.0002379161
1074.39,0.0001868185
1075.27,0.0001932924
1076.15,0.0002182632
1077.03,0.000196144
1078.34,0.0001841981
1079.23,0.0001996892
1080.11,0.0001980708
1081.43,0.0002338314
1082.31,0.0002120976
1083.19,0.0002007682
1084.07,0.0001934465
1085.39,0.0002362206
1086.27,0.0002588021
1087.15,0.0002231186
1088.03,0.0002166447
1089.34,0.000202695
1090.23,0.0001915968
1091.11,0.0002373766
1092.42,0.0002007682
1093.31,0.0002110956
1094.19,0.0002278199
1095.07,0.0002132536
1096.39,0.0002294384
1097.27,0.0002066256
1098.15,0.0002682047
1099.03,0.0002678194
1100.34,0.0002306715
1101.23,0.0002660468
1102.11,0.000248783
1103.42,0.000270671
1104.31,0.00023229
1105.19,0.0002475499
1106.08,0.0002632723
1107.39,0.0002880118
1108.27,0.0002579544
1109.15,0.0002331377
1110.03,0.000243234
1111.34,0.0002178778
1112.23,0.0002053924
1113.13,0.00021703
1114.02,0.0002226562
1115.33,0.0002285906
1116.22,0.0002269721
1117.1,0.0002786092
1118.42,0.0002730602
1119.31,0.0002566442
1120.19,0.0002411531
1121.07,0.000264043
1122.39,0.0002522512
1123.27,0.0002122517
1124.15,0.0002215001
1125.03,0.0002171842
1126.34,0.0002788404
1127.23,0.0002507869
1128.11,0.000282771
1129.43,0.0002934838
1130.31,0.0002692837
1131.19,0.0002560276
1132.07,0.0002631952
1133.39,0.000277299
1134.27,0.0002935609
1135.15,0.0002738309
1136.03,0.00028385
1137.34,0.0002930214
1138.23,0.0002988787
1139.11,0.0002708251
1140.42,0.0002878577
1141.3,0.0003095915
1142.19,0.0003193024
1143.07,0.0002766825
1144.39,0.0002997265
1145.27,0.0002600353
1146.15,0.0002812296
1147.03,0.0002852373
1148.34,0.0002821545
1149.23,0.0002505556
1150.11,0.0002413843
1151.42,0.0002677423
1152.31,0.0002457002
1153.19,0.0002633493
1154.08,0.0002887055
1155.39,0.000300266
1156.27,0.0002628098
1157.15,0.0002699774
1158.04,0.0002903239
1159.35,0.0003041966
1160.24,0.0002789946
1161.12,0.0002929443
1162.0,0.000312366
1163.31,0.0003115183
1164.19,0.000277299
1165.07,0.0002760659
1166.39,0.0002841583
1167.27,0.0002966437
1168.15,0.0002935609
1169.03,0.0002411531
1170.34,0.0003063545
1171.23,0.0002989558
1172.11,0.0003340228
1173.42,0.0003193024
1174.31,0.000296952
1175.19,0.000280536
1176.08,0.0003062004
1177.39,0.0002995724
1178.27,0.0002500162
1179.15,0.0002682818
1180.03,0.0002731372
1181.34,0.0003055838
1182.23,0.000252097
1183.11,0.0002850061
1184.42,0.0003421152
1185.31,0.0003270094
1186.19,0.0003384158
1187.07,0.0003168361
