Time (S),Current Ch1,Voltage Ch1
787.0,4.0820887026,-0.011528428415
788.0,4.0827327244,-0.011377083282
789.0,4.0830547353,-0.011325561534
790.0,4.0827327244,-0.011393183828
791.0,4.0820887026,-0.011428605029
792.0,4.0824107135,-0.011422164811
793.0,4.0827327244,-0.01134488219
794.0,4.0830547353,-0.011457586012
795.0,4.0824107135,-0.011467246339999999
796.0,4.0827327244,-0.011444705575
797.0,4.0824107135,-0.011241838694999999
798.0,4.0824107135,-0.011544528961
799.0,4.0827327244,-0.011435045247
800.0,4.0827327244,-0.011406064265
801.0,4.0827327244,-0.011480126775999999
802.0,4.0827327244,-0.011325561534
803.0,4.0820887026,-0.011476906666999999
804.0,4.0824107135,-0.011409284374
805.0,4.0827327244,-0.011373863172
806.0,4.0824107135,-0.011277259896000001
807.0,4.0827327244,-0.011312681097
808.0,4.0824107135,-0.011261159350000001
809.0,4.0820887026,-0.011364202844999999
810.0,4.0824107135,-0.011235398476
811.0,4.0827327244,-0.011325561534
812.0,4.0827327244,-0.011367422953999999
813.0,4.0824107135,-0.011261159350000001
814.0,4.0827327244,-0.011206417494
815.0,4.0827327244,-0.011190316947000001
816.0,4.0824107135,-0.011299800660999998
817.0,4.0827327244,-0.011341662079999999
818.0,4.0824107135,-0.011386743609000001
819.0,4.0824107135,-0.011196757166
820.0,4.0827327244,-0.01130302077
821.0,4.0824107135,-0.011280480005
822.0,4.0824107135,-0.011454365902999999
823.0,4.0824107135,-0.011270819678
824.0,4.0830547353,-0.011280480005
825.0,4.0824107135,-0.011299800660999998
826.0,4.0830547353,-0.011290140333
827.0,4.0830547353,-0.011312681097
828.0,4.0830547353,-0.011483346886000001
829.0,4.0827327244,-0.011312681097
830.0,4.0824107135,-0.011248278913
831.0,4.0827327244,-0.011280480005
832.0,4.0830547353,-0.011151675637000001
833.0,4.0827327244,-0.011164556074
834.0,4.0824107135,-0.011022871269000001
835.0,4.0824107135,-0.011238618585999999
836.0,4.0827327244,-0.011264379459000001
837.0,4.0830547353,-0.011209637603
838.0,4.0827327244,-0.011232178367
839.0,4.0827327244,-0.011161335965000001
840.0,4.0824107135,-0.011322341425
841.0,4.0827327244,-0.011158115855
842.0,4.0830547353,-0.011187096838
843.0,4.0827327244,-0.011183876729
844.0,4.0824107135,-0.011232178367
845.0,4.0824107135,-0.011235398476
846.0,4.0830547353,-0.011151675637000001
847.0,4.0830547353,-0.011087273453
848.0,4.0830547353,-0.011158115855
849.0,4.0824107135,-0.011154895746
850.0,4.0830547353,-0.011158115855
851.0,4.0827327244,-0.011138795200000001
852.0,4.0827327244,-0.011203197384000002
853.0,4.0824107135,-0.011116254435999999
854.0,4.0827327244,-0.011193537057
855.0,4.0824107135,-0.011267599569
856.0,4.0827327244,-0.011125914763
857.0,4.0830547353,-0.011161335965000001
858.0,4.0830547353,-0.011013210941
859.0,4.0824107135,-0.011435045247
860.0,4.0827327244,-0.011051852251000001
861.0,4.0824107135,-0.011216077820999999
862.0,4.0830547353,-0.011296580551
863.0,4.0820887026,-0.011286920224000001
864.0,4.0824107135,-0.011045412033
865.0,4.0830547353,-0.011228958257999999
866.0,4.0830547353,-0.011158115855
867.0,4.0827327244,-0.011145235419
868.0,4.0827327244,-0.011270819678
869.0,4.0827327244,-0.011093713671
870.0,4.0824107135,-0.011145235419
871.0,4.0820887026,-0.011006770722
872.0,4.0827327244,-0.011187096838
873.0,4.0827327244,-0.011212857712
874.0,4.0827327244,-0.011138795200000001
875.0,4.0827327244,-0.01122251804
876.0,4.0820887026,-0.011161335965000001
877.0,4.0827327244,-0.011042191924
878.0,4.0827327244,-0.011022871269000001
879.0,4.0824107135,-0.011022871269000001
880.0,4.0833767462,-0.010939148429000001
881.0,4.0830547353,-0.011019651158999999
882.0,4.0824107135,-0.011051852251000001
883.0,4.0824107135,-0.011106594108
884.0,4.0827327244,-0.011187096838
885.0,4.0827327244,-0.010823224497
886.0,4.0824107135,-0.011032531596
887.0,4.0824107135,-0.011116254435999999
888.0,4.0830547353,-0.011103373998999999
889.0,4.0827327244,-0.011048632142000001
890.0,4.0827327244,-0.010971349521
891.0,4.0827327244,-0.011087273453
892.0,4.0830547353,-0.010993890286
893.0,4.0824107135,-0.011254719132
894.0,4.0827327244,-0.011135575091000001
895.0,4.0827327244,-0.010926267992000001
896.0,4.0827327244,-0.011106594108
897.0,4.0824107135,-0.010981009849
898.0,4.0827327244,-0.010923047883000001
899.0,4.0827327244,-0.011074393016
900.0,4.0827327244,-0.010865085916999999
901.0,4.0827327244,-0.011113034326
902.0,4.0824107135,-0.010874746245
903.0,4.0824107135,-0.011032531596
904.0,4.0827327244,-0.01073306144
905.0,4.0827327244,-0.010874746245
906.0,4.0830547353,-0.010968129412
907.0,4.0824107135,-0.010903727228
908.0,4.0820887026,-0.010977789739999999
909.0,4.0824107135,-0.010906947337
910.0,4.0827327244,-0.011084053344
911.0,4.0827327244,-0.010929488101
912.0,4.0827327244,-0.011045412033
913.0,4.0824107135,-0.010887626682
914.0,4.0827327244,-0.010932708211
915.0,4.0827327244,-0.010852205479999998
916.0,4.0830547353,-0.010900507118
917.0,4.0827327244,-0.010758822313
918.0,4.0830547353,-0.011029311487
919.0,4.0830547353,-0.010942368538
920.0,4.0824107135,-0.011013210941
921.0,4.0827327244,-0.010958469084
922.0,4.0820887026,-0.011026091378000001
923.0,4.0824107135,-0.010964909303000002
924.0,4.0827327244,-0.010868306026
925.0,4.0824107135,-0.010984229958
926.0,4.0830547353,-0.010890846790999999
927.0,4.0827327244,-0.010923047883000001
928.0,4.0824107135,-0.010816784279
929.0,4.0824107135,-0.010871526136
930.0,4.0824107135,-0.010926267992000001
931.0,4.0827327244,-0.010939148429000001
932.0,4.0820887026,-0.010787803296000001
933.0,4.0827327244,-0.010887626682
934.0,4.0824107135,-0.010887626682
935.0,4.0830547353,-0.010919827774
936.0,4.0830547353,-0.010858645699
937.0,4.0830547353,-0.010697640238
938.0,4.0827327244,-0.010929488101
939.0,4.0820887026,-0.010955248975
940.0,4.0824107135,-0.010968129412
941.0,4.0824107135,-0.010842545153
942.0,4.0824107135,-0.010807123951
943.0,4.0830547353,-0.010910167446000001
944.0,4.0830547353,-0.010813564170000001
945.0,4.0830547353,-0.010903727228
946.0,4.0833767462,-0.010861865808
947.0,4.0830547353,-0.010923047883000001
948.0,4.0827327244,-0.010803903842
949.0,4.0827327244,-0.010948808757
950.0,4.0824107135,-0.010987450067
951.0,4.0824107135,-0.011019651158999999
952.0,4.0824107135,-0.01077170275
953.0,4.0827327244,-0.010794243515
954.0,4.0824107135,-0.010823224497
955.0,4.0824107135,-0.010845765262
956.0,4.0824107135,-0.010945588647
957.0,4.0824107135,-0.010881186463
958.0,4.0824107135,-0.010630017945
959.0,4.0830547353,-0.010858645699
960.0,4.0827327244,-0.010839325043000001
961.0,4.0820887026,-0.010845765262
962.0,4.0827327244,-0.010884406572
963.0,4.0827327244,-0.010881186463
964.0,4.0827327244,-0.01085542559
965.0,4.0827327244,-0.010958469084
966.0,4.0827327244,-0.010668659254999999
967.0,4.0827327244,-0.010794243515
968.0,4.0824107135,-0.010823224497
969.0,4.0827327244,-0.010968129412
970.0,4.0824107135,-0.010820004388
971.0,4.0833767462,-0.010884406572
972.0,4.0824107135,-0.010774922859
973.0,4.0827327244,-0.010826444607000002
974.0,4.0827327244,-0.010906947337
975.0,4.0820887026,-0.01072984133
976.0,4.0827327244,-0.010865085916999999
977.0,4.0824107135,-0.010823224497
978.0,4.0824107135,-0.010807123951
979.0,4.0830547353,-0.010829664716
980.0,4.0827327244,-0.010890846790999999
981.0,4.0824107135,-0.010768482640999999
982.0,4.0820887026,-0.010813564170000001
983.0,4.0827327244,-0.010845765262
984.0,4.0824107135,-0.010803903842
985.0,4.0824107135,-0.010784583187000001
986.0,4.0824107135,-0.010861865808
987.0,4.0824107135,-0.010826444607000002
988.0,4.0830547353,-0.010913387555000001
989.0,4.0824107135,-0.010897287009
990.0,4.0824107135,-0.010765262531999999
991.0,4.0830547353,-0.010697640238
992.0,4.0820887026,-0.010810344061
993.0,4.0830547353,-0.010836104934
994.0,4.0827327244,-0.01072984133
995.0,4.0824107135,-0.01077170275
996.0,4.0827327244,-0.010726621220999998
997.0,4.0824107135,-0.010700860347000001
998.0,4.0827327244,-0.010662219037
999.0,4.0827327244,-0.01077170275
1000.0,4.0827327244,-0.01069120002
1001.0,4.0824107135,-0.010820004388
1002.0,4.0824107135,-0.010745941876
1003.0,4.0827327244,-0.010594596743
1004.0,4.0827327244,-0.01061069729
1005.0,4.0827327244,-0.010704080457
1006.0,4.0824107135,-0.010742721767
1007.0,4.0820887026,-0.010726621220999998
1008.0,4.0824107135,-0.01085542559
1009.0,4.0827327244,-0.010887626682
1010.0,4.0827327244,-0.010791023404999999
1011.0,4.0827327244,-0.010662219037
1012.0,4.0827327244,-0.010613917398999998
1013.0,4.0830547353,-0.010762042422
1014.0,4.0827327244,-0.010791023404999999
1015.0,4.0830547353,-0.010803903842
1016.0,4.0824107135,-0.010765262531999999
1017.0,4.0824107135,-0.010594596743
1018.0,4.0824107135,-0.010768482640999999
1019.0,4.0827327244,-0.010639678271999999
1020.0,4.0830547353,-0.01060747718
1021.0,4.0827327244,-0.01060747718
1022.0,4.0827327244,-0.010665439145999999
1023.0,4.0827327244,-0.010578496197
1024.0,4.0824107135,-0.010575276088000001
1025.0,4.0830547353,-0.010530194558999999
1026.0,4.0824107135,-0.010655778817999999
1027.0,4.0824107135,-0.010778142967999999
1028.0,4.0824107135,-0.010578496197
1029.0,4.0824107135,-0.010707300566
1030.0,4.0824107135,-0.010681539692
1031.0,4.0824107135,-0.0106493386
1032.0,4.0827327244,-0.010697640238
1033.0,4.0830547353,-0.010597816853
1034.0,4.0830547353,-0.010700860347000001
1035.0,4.0830547353,-0.010694420129
1036.0,4.0827327244,-0.010520534232
1037.0,4.0824107135,-0.010665439145999999
1038.0,4.0824107135,-0.010694420129
1039.0,4.0824107135,-0.010523754341
1040.0,4.0827327244,-0.010562395651000001
1041.0,4.0830547353,-0.01061069729
1042.0,4.0820887026,-0.010497993467
1043.0,4.0827327244,-0.010601036961999998
1044.0,4.0827327244,-0.010572055979
1045.0,4.0827327244,-0.010494773358
1046.0,4.0824107135,-0.010687979911000001
1047.0,4.0824107135,-0.010311227133
1048.0,4.0827327244,-0.010707300566
1049.0,4.0827327244,-0.010469012484
1050.0,4.0827327244,-0.010559175542000001
1051.0,4.0827327244,-0.010613917398999998
1052.0,4.0824107135,-0.010530194558999999
1053.0,4.0827327244,-0.010623577726
1054.0,4.0827327244,-0.010604257071
1055.0,4.0824107135,-0.010655778817999999
1056.0,4.0824107135,-0.010533414668
1057.0,4.0827327244,-0.01060747718
1058.0,4.0827327244,-0.010646118491
1059.0,4.0824107135,-0.010620357617
1060.0,4.0830547353,-0.010546295105
1061.0,4.0827327244,-0.010678319583
1062.0,4.0827327244,-0.010504433686
1063.0,4.0820887026,-0.010575276088000001
1064.0,4.0827327244,-0.010530194558999999
1065.0,4.0827327244,-0.010514094012999999
1066.0,4.0824107135,-0.010436811392
1067.0,4.0824107135,-0.010475452703000002
1068.0,4.0824107135,-0.010552735324
1069.0,4.0827327244,-0.010497993467
1070.0,4.0827327244,-0.010636458163
1071.0,4.0830547353,-0.010555955433
1072.0,4.0827327244,-0.010517314122
1073.0,4.0830547353,-0.010700860347000001
1074.0,4.0824107135,-0.010385289645
1075.0,4.0827327244,-0.010478672812
1076.0,4.0827327244,-0.010491553249
1077.0,4.0827327244,-0.010559175542000001
1078.0,4.0827327244,-0.010552735324
1079.0,4.0827327244,-0.010340208116
1080.0,4.0824107135,-0.010407830409
1081.0,4.0827327244,-0.010340208116
1082.0,4.0827327244,-0.010549515215000001
1083.0,4.0824107135,-0.010411050518
1084.0,4.0830547353,-0.010501213576
1085.0,4.0827327244,-0.010398170082
1086.0,4.0827327244,-0.010417490736999999
1087.0,4.0827327244,-0.010469012484
1088.0,4.0824107135,-0.010584936416
1089.0,4.0827327244,-0.010581716307
1090.0,4.0824107135,-0.010533414668
1091.0,4.0827327244,-0.010259705386
1092.0,4.0824107135,-0.010497993467
1093.0,4.0830547353,-0.010452911938
1094.0,4.0824107135,-0.010452911938
1095.0,4.0827327244,-0.010665439145999999
1096.0,4.0827327244,-0.010275805931999999
1097.0,4.0827327244,-0.010382069536
1098.0,4.0827327244,-0.010462572266000001
1099.0,4.0827327244,-0.010301566805
1100.0,4.0824107135,-0.010401390190999999
1101.0,4.0827327244,-0.010266145604
1102.0,4.0824107135,-0.010433591283000001
1103.0,4.0827327244,-0.010401390190999999
1104.0,4.0827327244,-0.010250045058
1105.0,4.0830547353,-0.010369189099
1106.0,4.0827327244,-0.01048511303
1107.0,4.0827327244,-0.010411050518
1108.0,4.0820887026,-0.010423930955
1109.0,4.0830547353,-0.010536634778
1110.0,4.0827327244,-0.01028224615
1111.0,4.0824107135,-0.010478672812
1112.0,4.0824107135,-0.010427151065
1113.0,4.0824107135,-0.010546295105
1114.0,4.0824107135,-0.010449691829000001
1115.0,4.0824107135,-0.010417490736999999
1116.0,4.0827327244,-0.010417490736999999
1117.0,4.0827327244,-0.010324107570000001
1118.0,4.0824107135,-0.010407830409
